Name,New price,Old price,Product code,URL
Jersey Camisole Top,$4.99,$6.99,69011,http://www.hm.com/us/product/69011?article=69011-C
Fine-knit Camisole Top,$12.99,$29.99,67259,http://www.hm.com/us/product/67259?article=67259-C
Tulle Top,$19.99,$39.99,68538,http://www.hm.com/us/product/68538?article=68538-A
V-neck Camisole Top,$9.99,$17.99,63080,http://www.hm.com/us/product/63080?article=63080-B
One-shoulder Top,$7.99,$17.99,67836,http://www.hm.com/us/product/67836?article=67836-B
Mock-turtleneck Top,$12.99,$17.99,55410,http://www.hm.com/us/product/55410?article=55410-C
Silk-blend Top,$12.99,$24.99,63643,http://www.hm.com/us/product/63643?article=63643-E
Short Sweatshirt,$19.99,$34.99,67529,http://www.hm.com/us/product/67529?article=67529-C
Lace Top,$9.99,$17.99,65850,http://www.hm.com/us/product/65850?article=65850-C
Fine-knit Top,$9.99,$17.99,59991,http://www.hm.com/us/product/59991?article=59991-A
Fine-knit Camisole Top,$12.99,$29.99,67259,http://www.hm.com/us/product/67259?article=67259-D
Wide-cut Camisole Top,$9.99,$14.99,68459,http://www.hm.com/us/product/68459?article=68459-J
T-shirt with Motif,$12.99,$17.99,64623,http://www.hm.com/us/product/64623?article=64623-C
Long-sleeved Linen Top,$12.99,$24.99,64869,http://www.hm.com/us/product/64869?article=64869-D
Jersey Top,$9.99,$14.99,49630,http://www.hm.com/us/product/49630?article=49630-G
Polo Shirt,$9.99,$12.99,48777,http://www.hm.com/us/product/48777?article=48777-B
Long-sleeved Linen Top,$12.99,$24.99,64869,http://www.hm.com/us/product/64869?article=64869-B
Uni Tee,$12.99,$19.99,62358,http://www.hm.com/us/product/62358?article=62358-B
Polo Shirt,$9.99,$12.99,48777,http://www.hm.com/us/product/48777?article=48777-A
Fitted Sweater,$9.99,$29.99,63533,http://www.hm.com/us/product/63533?article=63533-E
Ruffled Top,$9.99,$17.99,67573,http://www.hm.com/us/product/67573?article=67573-A
Fine-knit Turtleneck Top,$9.99,$17.99,67189,http://www.hm.com/us/product/67189?article=67189-B
Ribbed Sweater,$9.99,$12.99,59865,http://www.hm.com/us/product/59865?article=59865-D
T-shirt with Printed Design,$9.99,$14.99,65389,http://www.hm.com/us/product/65389?article=65389-E
Wrap-front Sweater,$9.99,$12.99,62525,http://www.hm.com/us/product/62525?article=62525-A
Tube Top,$4,$9.95,26972,http://www.hm.com/us/product/26972?article=26972-M
Long-sleeved Jersey Top,$7.99,$12.99,56535,http://www.hm.com/us/product/56535?article=56535-A
Ribbed Sweater,$9.99,$12.99,59865,http://www.hm.com/us/product/59865?article=59865-B
Long-sleeved Linen Top,$12.99,$24.99,64869,http://www.hm.com/us/product/64869?article=64869-A
Jersey Top with Lace,$9.99,$19.99,68149,http://www.hm.com/us/product/68149?article=68149-B
V-neck Top,$7.99,$17.99,69690,http://www.hm.com/us/product/69690?article=69690-B
Lace Top,$19.99,$34.99,67945,http://www.hm.com/us/product/67945?article=67945-C
Bustier,$14.99,$29.99,60791,http://www.hm.com/us/product/60791?article=60791-B
Crêped Jersey Top,$14.99,$29.99,68689,http://www.hm.com/us/product/68689?article=68689-A
Jersey Top,$6.99,$9.99,38235,http://www.hm.com/us/product/38235?article=38235-A
Long-sleeved Jersey Top,$7.99,$12.99,30028,http://www.hm.com/us/product/30028?article=30028-A
Loose-knit Top,$14.99,$24.99,65855,http://www.hm.com/us/product/65855?article=65855-D
Ribbed Camisole Top,$5.99,$12.99,66728,http://www.hm.com/us/product/66728?article=66728-B
Short Top,$5.99,$9.99,66133,http://www.hm.com/us/product/66133?article=66133-B
Bustier,$14.99,$29.99,60791,http://www.hm.com/us/product/60791?article=60791-A
Wide-cut T-shirt,$7.99,$12.99,66154,http://www.hm.com/us/product/66154?article=66154-C
Short Lace Top,$14.99,$29.99,63545,http://www.hm.com/us/product/63545?article=63545-B
Pleated Top,$12.99,$24.99,58708,http://www.hm.com/us/product/58708?article=58708-B
Double-layer Camisole Top,$12.99,$24.99,70444,http://www.hm.com/us/product/70444?article=70444-E
Airy Jersey Top,$12.99,$17.99,63206,http://www.hm.com/us/product/63206?article=63206-B
Jersey Camisole Top with Lace,$12.99,$17.99,69540,http://www.hm.com/us/product/69540?article=69540-D
Jersey Top,$7.99,$14.99,39799,http://www.hm.com/us/product/39799?article=39799-E
Ribbed Top,$9.99,$17.99,56852,http://www.hm.com/us/product/56852?article=56852-A
Jersey Top,$9.99,$14.99,64735,http://www.hm.com/us/product/64735?article=64735-A
Short Top with Lacing,$17.99,$29.99,62105,http://www.hm.com/us/product/62105?article=62105-B
Glittery Bustier,$12.99,$24.99,59539,http://www.hm.com/us/product/59539?article=59539-B
Sleeveless Top with Lace,$14.99,$24.99,60829,http://www.hm.com/us/product/60829?article=60829-A
Long-sleeved Linen Top,$12.99,$24.99,64869,http://www.hm.com/us/product/64869?article=64869-E
Jersey Top,$9.99,$14.99,49630,http://www.hm.com/us/product/49630?article=49630-F
Flounced Crop Top,$14.99,$24.99,59231,http://www.hm.com/us/product/59231?article=59231-A
Mock-turtleneck Top,$9.99,$17.99,55410,http://www.hm.com/us/product/55410?article=55410-D
Crushed-velvet Top,$9.99,$14.99,70150,http://www.hm.com/us/product/70150?article=70150-C
Loose-knit Top,$14.99,$24.99,65855,http://www.hm.com/us/product/65855?article=65855-A
Mock-turtleneck Top,$12.99,$17.99,55410,http://www.hm.com/us/product/55410?article=55410-E
Short Top,$17.99,$34.99,69673,http://www.hm.com/us/product/69673?article=69673-A
V-neck Camisole Top,$12.99,$17.99,59964,http://www.hm.com/us/product/59964?article=59964-A
Jersey Top,$7.99,$14.99,39799,http://www.hm.com/us/product/39799?article=39799-D
Long-sleeved Top,$12.99,$24.99,56522,http://www.hm.com/us/product/56522?article=56522-C
Crushed-velvet Camisole Top,$17.99,$24.99,63178,http://www.hm.com/us/product/63178?article=63178-A
Ribbed Top,$14.99,$29.99,67941,http://www.hm.com/us/product/67941?article=67941-A
Sleeveless Top with Lace,$14.99,$24.99,60829,http://www.hm.com/us/product/60829?article=60829-B
Wide-cut Camisole Top,$9.99,$14.99,68459,http://www.hm.com/us/product/68459?article=68459-I
Long-sleeved Top,$14.99,$24.99,56522,http://www.hm.com/us/product/56522?article=56522-E
Silk-blend Top,$12.99,$24.99,39356,http://www.hm.com/us/product/39356?article=39356-A
Jersey Top,$9.99,$14.99,64828,http://www.hm.com/us/product/64828?article=64828-C
Draped Top,$9.99,$19.99,61712,http://www.hm.com/us/product/61712?article=61712-B
Ribbed Top,$9.99,$19.99,56148,http://www.hm.com/us/product/56148?article=56148-A
Long-sleeved Jersey Top,$9.99,$12.99,30028,http://www.hm.com/us/product/30028?article=30028-S
Jersey Top,$9.99,$14.99,58380,http://www.hm.com/us/product/58380?article=58380-C
Sequined Bustier,$17.99,$39.99,58123,http://www.hm.com/us/product/58123?article=58123-A
Ribbed Jersey Top,$7.99,$17.99,56300,http://www.hm.com/us/product/56300?article=56300-A
Fitted Sweater,$9.99,$29.99,63533,http://www.hm.com/us/product/63533?article=63533-D
Short Top,$17.99,$29.99,63209,http://www.hm.com/us/product/63209?article=63209-A
Ribbed Top,$12.99,$34.99,58201,http://www.hm.com/us/product/58201?article=58201-A
Cupro-blend Top,$24.99,$39.99,68411,http://www.hm.com/us/product/68411?article=68411-A
Velvet Camisole Top,$14.99,$24.99,66158,http://www.hm.com/us/product/66158?article=66158-C
Ribbed Sweater,$9.99,$12.99,59865,http://www.hm.com/us/product/59865?article=59865-C
Off-the-shoulder Top,$14.99,$24.99,53939,http://www.hm.com/us/product/53939?article=53939-A
Top with Smocking,$17.99,$29.99,67464,http://www.hm.com/us/product/67464?article=67464-A
Long-sleeved T-shirt,$9.99,$17.99,66218,http://www.hm.com/us/product/66218?article=66218-D
Linen-blend Top,$12.99,$24.99,51674,http://www.hm.com/us/product/51674?article=51674-A
Fitted Lace Top,$14.99,$24.99,67944,http://www.hm.com/us/product/67944?article=67944-B
Velour T-shirt,$9.99,$17.99,69500,http://www.hm.com/us/product/69500?article=69500-A
Pleated Top,$19.99,$34.99,59588,http://www.hm.com/us/product/59588?article=59588-A
Ribbed Top,$14.99,$34.99,57946,http://www.hm.com/us/product/57946?article=57946-C
Rib-knit Sweater,$14.99,$24.99,61286,http://www.hm.com/us/product/61286?article=61286-A
Glittery Bustier,$12.99,$24.99,59539,http://www.hm.com/us/product/59539?article=59539-C
Long-sleeved Top,$12.99,$17.99,62754,http://www.hm.com/us/product/62754?article=62754-B
Lace Camisole Top,$12.99,$24.99,58828,http://www.hm.com/us/product/58828?article=58828-A
Jersey Top,$6.99,$12.99,94115,http://www.hm.com/us/product/94115?article=94115-K
Short Top,$9.99,$14.99,68304,http://www.hm.com/us/product/68304?article=68304-B
Embellished Chiffon Top,$20,$39.99,84923,http://www.hm.com/us/product/84923?article=84923-A
Short Ruffled Top,$19.99,$24.99,71504,http://www.hm.com/us/product/71504?article=71504-B
Handkerchief Top,$14.99,$24.99,67070,http://www.hm.com/us/product/67070?article=67070-A
Velour Camisole Top,$9.99,$17.99,68808,http://www.hm.com/us/product/68808?article=68808-A
T-shirt with Printed Design,$9.99,$14.99,64990,http://www.hm.com/us/product/64990?article=64990-A
Jersey Top with Printed Design,$14.99,$24.99,66151,http://www.hm.com/us/product/66151?article=66151-A
Velvet Camisole Top,$14.99,$24.99,66158,http://www.hm.com/us/product/66158?article=66158-B
Lyocell Top,$19.99,$24.99,65225,http://www.hm.com/us/product/65225?article=65225-A
Camisole Top with Mesh Detail,$12.99,$17.99,62288,http://www.hm.com/us/product/62288?article=62288-B
Beaded Lace Top,$20,$39.95,98637,http://www.hm.com/us/product/98637?article=98637-A
Jersey Top,$7.99,$12.99,34980,http://www.hm.com/us/product/34980?article=34980-A
Long-sleeved Jersey Top,$19.99,$24.99,64062,http://www.hm.com/us/product/64062?article=64062-A
Lyocell Top,$17.99,$29.99,65437,http://www.hm.com/us/product/65437?article=65437-A
Mesh Ruffled Top,$14.99,$19.99,65298,http://www.hm.com/us/product/65298?article=65298-B
Long-sleeved Jersey Top,$14.99,$29.99,59142,http://www.hm.com/us/product/59142?article=59142-A
Sleeveless Top,$9.99,$17.99,60245,http://www.hm.com/us/product/60245?article=60245-A
Sleeveless Turtleneck Sweater,$17.99,$24.99,52822,http://www.hm.com/us/product/52822?article=52822-A
Ribbed Top,$9.99,$14.99,56526,http://www.hm.com/us/product/56526?article=56526-B
One-shoulder Top,$7.99,$17.99,67836,http://www.hm.com/us/product/67836?article=67836-A
Jersey Tank Top,$7.99,$12.99,47998,http://www.hm.com/us/product/47998?article=47998-B
Pointelle Top,$14.99,$24.99,63835,http://www.hm.com/us/product/63835?article=63835-A
Velour Top,$14.99,$24.99,69616,http://www.hm.com/us/product/69616?article=69616-B
V-neck Camisole Top,$19.99,$39.99,55497,http://www.hm.com/us/product/55497?article=55497-C
Jersey Top,$9.99,$14.99,58380,http://www.hm.com/us/product/58380?article=58380-A
Ribbed Top,$9.99,$19.99,56148,http://www.hm.com/us/product/56148?article=56148-B
Mock-turtleneck Top,$9.99,$17.99,55410,http://www.hm.com/us/product/55410?article=55410-B
Short Satin Top,$17.99,$34.99,47995,http://www.hm.com/us/product/47995?article=47995-A
Off-the-shoulder Top,$24.99,$34.99,61183,http://www.hm.com/us/product/61183?article=61183-A
Sequin-embroidered Bustier,$17.99,$34.99,60536,http://www.hm.com/us/product/60536?article=60536-A
Top with Lacing,$12.99,$24.99,59316,http://www.hm.com/us/product/59316?article=59316-B
Glittery Top,$19.99,$39.99,61034,http://www.hm.com/us/product/61034?article=61034-C
Tank Top with Ties,$14.99,$24.99,63091,http://www.hm.com/us/product/63091?article=63091-A
Chiffon Top,$14.99,$39.99,82397,http://www.hm.com/us/product/82397?article=82397-A
V-neck Top,$12.99,$29.99,46814,http://www.hm.com/us/product/46814?article=46814-G
Sequined Tank Top,$19.99,$34.99,58495,http://www.hm.com/us/product/58495?article=58495-A
Ribbed Top,$9.99,$17.99,57315,http://www.hm.com/us/product/57315?article=57315-C
V-neck Camisole Top,$19.99,$39.99,55497,http://www.hm.com/us/product/55497?article=55497-E
Top with Open Back,$9.99,$17.99,61028,http://www.hm.com/us/product/61028?article=61028-A
Long-sleeved Lace Top,$19.99,$24.99,38130,http://www.hm.com/us/product/38130?article=38130-C
V-neck Camisole Top,$19.99,$34.99,67857,http://www.hm.com/us/product/67857?article=67857-A
Velour Top,$14.99,$24.99,69616,http://www.hm.com/us/product/69616?article=69616-A
Short Top,$14.99,$24.99,60761,http://www.hm.com/us/product/60761?article=60761-A
Sleeveless Top,$14.99,$29.99,51196,http://www.hm.com/us/product/51196?article=51196-D
Ribbed Top,$9.99,$17.99,64983,http://www.hm.com/us/product/64983?article=64983-A
Long-sleeved Top,$14.99,$24.99,56522,http://www.hm.com/us/product/56522?article=56522-F
Jersey Top,$9.99,$14.99,64828,http://www.hm.com/us/product/64828?article=64828-D
Ribbed Jersey Top,$12.99,$24.99,39668,http://www.hm.com/us/product/39668?article=39668-B
Draped Top,$9.99,$19.99,61712,http://www.hm.com/us/product/61712?article=61712-D
Jersey Top,$9.99,$14.99,64828,http://www.hm.com/us/product/64828?article=64828-E
Short Glittery Top,$14.99,$29.99,53308,http://www.hm.com/us/product/53308?article=53308-A
Velour Top,$14.99,$24.99,69616,http://www.hm.com/us/product/69616?article=69616-C
Crushed-velvet Camisole Top,$24.99,$34.99,69676,http://www.hm.com/us/product/69676?article=69676-A
Fitted Jersey Top,$12.99,$24.99,88680,http://www.hm.com/us/product/88680?article=88680-M
Glittery Camisole Top,$17.99,$24.99,58956,http://www.hm.com/us/product/58956?article=58956-B
Ruffled Top,$17.99,$29.99,59269,http://www.hm.com/us/product/59269?article=59269-A
Halterneck Top,$19.99,$34.99,53502,http://www.hm.com/us/product/53502?article=53502-A
Long Jersey Top,$12.99,$24.99,57920,http://www.hm.com/us/product/57920?article=57920-D
Satin Peplum Top,$24.99,$34.99,56723,http://www.hm.com/us/product/56723?article=56723-A
Long-sleeved Jersey Top,$12.99,$17.99,54285,http://www.hm.com/us/product/54285?article=54285-B
Fine-knit Glittery Top,$14.99,$24.99,44550,http://www.hm.com/us/product/44550?article=44550-B
Ribbed Jersey Top,$7.99,$17.99,56300,http://www.hm.com/us/product/56300?article=56300-F
Ribbed Top,$10,$17.95,76777,http://www.hm.com/us/product/76777?article=76777-B
V-neck Bodysuit,$17.99,$24.99,60992,http://www.hm.com/us/product/60992?article=60992-B
Jersey Top with Lace,$14.99,$24.99,39074,http://www.hm.com/us/product/39074?article=39074-A
Ribbed Top,$9.99,$17.99,56889,http://www.hm.com/us/product/56889?article=56889-D
Sequined Top,$29.99,$49.99,58474,http://www.hm.com/us/product/58474?article=58474-A
Short Top with Lacing,$17.99,$29.99,62105,http://www.hm.com/us/product/62105?article=62105-A
Long-sleeved Jersey Top,$12.99,$17.99,54285,http://www.hm.com/us/product/54285?article=54285-A
Ribbed Mock Turtleneck Sweater,$19.99,$34.99,55016,http://www.hm.com/us/product/55016?article=55016-A
Glittery Camisole Top,$17.99,$24.99,58956,http://www.hm.com/us/product/58956?article=58956-A
Draped Jersey Top,$7.99,$17.99,55302,http://www.hm.com/us/product/55302?article=55302-C
V-neck Top,$17.99,$29.99,50693,http://www.hm.com/us/product/50693?article=50693-C
Lace Top,$12.99,$24.95,30892,http://www.hm.com/us/product/30892?article=30892-A
Flounced Chiffon Camisole Top,$14.99,$29.99,60809,http://www.hm.com/us/product/60809?article=60809-A
Sequined Camisole Top,$29.99,$49.99,55491,http://www.hm.com/us/product/55491?article=55491-B
Cropped Camisole Top,$14.99,$29.99,45952,http://www.hm.com/us/product/45952?article=45952-B
Camisole Top,$17.99,$34.99,41726,http://www.hm.com/us/product/41726?article=41726-A
Ribbed Sweater,$9.99,$12.99,59865,http://www.hm.com/us/product/59865?article=59865-A
Glittery Top,$34.99,$49.99,37042,http://www.hm.com/us/product/37042?article=37042-B
