Amount paid to date,Case number,Citation number,Link to standard,Proposed penalty,Standard violated
,,8912694,http://www.ecfr.gov/cgi-bin/text-idx?SID=f462b60350e1a59e963680947dff1a01&node=se30.1.56_114132&rgn=div8,,56.14132(a)
351.00,000427623,8638781,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12028.pdf,351.00,56.12028
100.00,000411633,8903432,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec47-41.pdf,100.00,47.41(a)
100.00,000411633,8903433,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14100.pdf,100.00,56.14100(b)
100.00,000411633,8903436,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12004.pdf,100.00,56.12004
117.00,000411633,8903435,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf,117.00,56.9300(a)
117.00,000411633,8903434,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-11.pdf,117.00,46.11(d)
100.00,000397972,8822977,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf,100.00,56.9300(b)
100.00,000397972,8822976,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14101.pdf,100.00,56.14101(a)(2)
100.00,000397972,8822974,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf,100.00,56.14100(b)
100.00,000397972,8822973,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf,100.00,56.9300(a)
100.00,000397972,8822975,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf,100.00,56.14100(c)
100.00,000382609,8818270,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12040.pdf,100.00,56.12040
100.00,000382609,8818269,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14211.pdf,100.00,56.14211(b)
100.00,000375494,8818247,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf,100.00,56.12004
100.00,000360091,8835757,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,100.00,56.14100(b)
100.00,000360091,8835756,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf,100.00,50.30(a)
100.00,000346593,8732850,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,100.00,56.14100(a)
100.00,000334543,8729317,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-18002.pdf,100.00,56.18002(b)
117.00,000334543,8729316,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-9300.pdf,117.00,56.9300(a)
100.00,000315004,8723395,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14107.pdf,100.00,56.14107(a)
100.00,000315004,8723396,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-11003.pdf,100.00,56.11003
100.00,000296474,8638087,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9100.pdf,100.00,56.9100(a)
100.00,000293592,8638086,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14132.pdf,100.00,56.14132(a)
807.00,000293592,8638085,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf,807.00,56.14100(b)
100.00,000273703,8637959,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec46-9.pdf,100.00,46.9(a)
100.00,000256650,8630131,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12032.pdf,100.00,56.12032
100.00,000230512,8547868,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec46-9.pdf,100.00,46.9(a)
100.00,000230512,8547870,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12028.pdf,100.00,56.12028
100.00,000230512,8547867,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18010.pdf,100.00,56.18010
243.00,000230512,8547866,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf,243.00,56.9300(a)
100.00,000230512,8547865,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-4402.pdf,100.00,56.4402
100.00,000230512,8547862,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15020.pdf,100.00,56.15020
100.00,000230512,8547863,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14107.pdf,100.00,56.14107(a)
100.00,000218132,8544318,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,100.00,56.14132(a)
100.00,000218132,8544317,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12004.pdf,100.00,56.12004
100.00,000158499,7751779,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14103.pdf,100.00,56.14103(a)
"2,000.00",000158499,7751780,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-3131.pdf,"2,000.00",56.3131
100.00,000141737,7780184,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12008.pdf,100.00,56.12008
100.00,000141737,7780187,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12018.pdf,100.00,56.12018
100.00,000141737,7780186,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf,100.00,56.14112(b)
100.00,000141737,7780185,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf,100.00,56.14112(b)
350.00,000109664,7765211,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12006.pdf,350.00,56.12006
60.00,000089619,6110215,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-4101.pdf,60.00,56.4101
60.00,000089619,6110216,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec47-41.pdf,60.00,47.41(a)
60.00,000089619,6110217,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12004.pdf,60.00,56.12004
60.00,000089619,6110213,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-14100.pdf,60.00,56.14100(b)
60.00,000089619,6110211,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12025.pdf,60.00,56.12025
60.00,000089619,6110212,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-16006.pdf,60.00,56.16006
614.00,000089619,6110214,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12013.pdf,614.00,56.12013(b)
60.00,000063118,6088757,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec50-30.pdf,60.00,50.30
60.00,000058196,6094158,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-14132.pdf,60.00,56.14132(a)
60.00,000058196,6094157,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4102.pdf,60.00,56.4102
60.00,000058196,6094159,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-20003.pdf,60.00,56.20003(a)
60.00,000058196,6094156,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4200.pdf,60.00,56.4200(a)(1)
268.00,000041636,6093407,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-12016.pdf,268.00,56.12016
60.00,000041636,6093409,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec46-9.pdf,60.00,46.9(c)(2)(i)
60.00,000041636,6093408,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14132.pdf,60.00,56.14132(a)
60.00,080130605503,6092152,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-9300.pdf,60.00,56.9300(a)
106.00,080130605503,6092153,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-14103.pdf,106.00,56.14103(c)(1)
133.00,080130605503,6092151,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-4402.pdf,133.00,56.4402
60.00,080130605503,6092154,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-20003.pdf,60.00,56.20003(a)
55.00,080130605502,7763978,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-4230.pdf,55.00,56.4230(a)(1)
55.00,080130605502,7763975,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-20003.pdf,55.00,56.20003(a)
55.00,080130605502,7763979,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-16006.pdf,55.00,56.16006
104.00,080130605502,7763976,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14100.pdf,104.00,56.14100(b)
104.00,080130605502,7763977,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14132.pdf,104.00,56.14132(b)(1)(i)
55.00,080130605501,7764984,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec62-130.pdf,55.00,62.130(a)
113.00,080130605501,7764907,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14130.pdf,113.00,56.14130(g)
55.00,080130605501,7764904,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12028.pdf,55.00,56.12028
55.00,080130605501,7764905,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-1000.pdf,55.00,56.1000
55.00,080130605501,7764902,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12004.pdf,55.00,56.12004
55.00,080130605501,7764901,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14107.pdf,55.00,56.14107(a)
55.00,080130605501,7764903,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-18010.pdf,55.00,56.18010
113.00,080130605501,7764908,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12013.pdf,113.00,56.12013
,080130605501,7764906,,,
